Year,Host_NOC,Future_Host
1896,Greece,France
1900,France,United States
1904,United States,United Kingdom
1908,United Kingdom,Sweden
1912,Sweden,Belgium
1920,Belgium,France
1924,France,Netherlands
1928,Netherlands,United States
1932,United States,Germany
1936,Germany,United Kingdom
1948,United Kingdom,Finland
1952,Finland,Australia
1956,Australia,Italy
1960,Italy,Japan
1964,Japan,Mexico
1968,Mexico,Germany
1972,Germany,Canada
1976,Canada,United States
1984,United States,South Korea
1988,South Korea,Spain
1992,Spain,United States
1996,United States,Australia
2000,Australia,Greece
2004,Greece,China
2008,China,United Kingdom
2012,United Kingdom,Brazil
2016,Brazil,Japan
2020,Japan,France
2024,France,United States
2028,United States,Australia
2032,Australia,No Future Host
